id,species
Bb-comp135258_c0,bb
Bb-comp13525_c0,bb
Bb-comp13530_c0,bb
Bb-comp135331_c0,bb
Bb-comp13536_c0,bb
Bb-comp135371_c0,bb
Bb-comp135387_c0,bb
Bb-comp135416_c0,bb
Bb-comp135451_c0,bb
Bb-comp135477_c0,bb
Bb-comp135478_c0,bb
Bb-comp135542_c0,bb
Bb-comp13554_c0,bb
Bb-comp135694_c0,bb
Bb-comp13582_c0,bb
Bb-comp13599_c0,bb
Bb-comp136384_c0,bb
Bb-comp136408_c0,bb
Bb-comp136513_c0,bb
Bb-comp13658_c0,bb
Bb-comp136597_c0,bb
Bb-comp13659_c0,bb
Bb-comp136617_c0,bb
Bb-comp136697_c0,bb
Bb-comp136698_c0,bb
Bb-comp136766_c0,bb
Bb-comp13677_c0,bb
Bb-comp13678_c0,bb
Bb-comp13679_c0,bb
Bb-comp13684_c0,bb
Bb-comp13686_c0,bb
Bb-comp13687_c0,bb
Bb-comp13688_c0,bb
Bb-comp136891_c0,bb
Bb-comp136915_c0,bb
Bb-comp13699_c0,bb
Bb-comp137101_c0,bb
Bb-comp137103_c0,bb
Bb-comp137270_c0,bb
Bb-comp137281_c0,bb
Bb-comp1372_c0,bb
Bb-comp137310_c0,bb
Bb-comp13741_c0,bb
Bb-comp137444_c0,bb
Bb-comp137474_c0,bb
Bb-comp13761_c0,bb
Bb-comp13765_c0,bb
Bb-comp13766_c0,bb
Bb-comp13773_c0,bb
Bb-comp137825_c0,bb
Bb-comp13789_c0,bb
Bb-comp13793_c0,bb
Bb-comp13798_c0,bb
Bb-comp138202_c0,bb
Bb-comp13834_c1,bb
Bb-comp138498_c0,bb
Bb-comp13850_c0,bb
Bb-comp138527_c0,bb
Bb-comp138585_c0,bb
Bb-comp13862_c0,bb
Bb-comp13878_c0,bb
Bb-comp138839_c0,bb
Bb-comp13918_c0,bb
Bb-comp139196_c0,bb
Bb-comp1393_c0,bb
Bb-comp139445_c0,bb
Bb-comp13960_c0,bb
Bb-comp139671_c0,bb
Bb-comp13980_c0,bb
Bb-comp13981_c1,bb
Bb-comp13987_c0,bb
Bb-comp13994_c0,bb
Bb-comp14001_c0,bb
Bb-comp14028_c0,bb
Bb-comp1402_c0,bb
Bb-comp140337_c0,bb
Bb-comp140409_c0,bb
Bb-comp140571_c0,bb
Bb-comp140662_c0,bb
Bb-comp14079_c0,bb
Bb-comp14085_c0,bb
Bb-comp14104_c0,bb
Bb-comp141266_c0,bb
Bb-comp141289_c0,bb
Bb-comp14128_c0,bb
Bb-comp141310_c0,bb
Bb-comp141388_c0,bb
Bb-comp14138_c0,bb
Bb-comp141426_c0,bb
Bb-comp141429_c0,bb
Bb-comp141444_c0,bb
Bb-comp14152_c0,bb
Bb-comp141568_c0,bb
Bb-comp14166_c0,bb
Bb-comp141692_c0,bb
Bb-comp141759_c0,bb
Bb-comp14176_c0,bb
Bb-comp141783_c0,bb
Bb-comp14180_c0,bb
Bb-comp141829_c0,bb
Bb-comp14186_c0,bb
Bb-comp141902_c0,bb
Bb-comp142049_c0,bb
Bb-comp142058_c0,bb
Bb-comp14205_c0,bb
Bb-comp142115_c0,bb
Bb-comp14214_c0,bb
Bb-comp142185_c0,bb
Bb-comp14222_c0,bb
Bb-comp142240_c0,bb
Bb-comp14227_c0,bb
Bb-comp14235_c0,bb
Bb-comp142366_c0,bb
Bb-comp14237_c0,bb
Bb-comp142539_c0,bb
Bb-comp142571_c0,bb
Bb-comp14258_c0,bb
Bb-comp142627_c0,bb
Bb-comp142774_c0,bb
Bb-comp142791_c0,bb
Bb-comp14281_c0,bb
Bb-comp142837_c0,bb
Bb-comp142865_c0,bb
Bb-comp142880_c0,bb
Bb-comp142910_c0,bb
Bb-comp142912_c0,bb
Bb-comp14296_c0,bb
Bb-comp142971_c0,bb
Bb-comp14298_c0,bb
Bb-comp143001_c0,bb
Bb-comp143019_c0,bb
Bb-comp14305_c0,bb
Bb-comp143160_c0,bb
Bb-comp14332_c0,bb
Bb-comp143334_c0,bb
Bb-comp143380_c0,bb
Bb-comp14353_c0,bb
Bb-comp14354_c0,bb
Bb-comp143556_c0,bb
Bb-comp143584_c0,bb
Bb-comp14369_c0,bb
Bb-comp14372_c0,bb
Bb-comp143765_c0,bb
Bb-comp14382_c0,bb
Bb-comp14384_c0,bb
Bb-comp143880_c0,bb
Bb-comp14390_c0,bb
Bb-comp143912_c0,bb
Bb-comp143970_c0,bb
Bb-comp144050_c0,bb
Bb-comp144067_c0,bb
Bb-comp144092_c0,bb
Bb-comp14424_c0,bb
Bb-comp144308_c0,bb
Bb-comp144313_c0,bb
Bb-comp144362_c0,bb
Bb-comp144395_c0,bb
Bb-comp144437_c0,bb
Bb-comp144485_c0,bb
Bb-comp144497_c0,bb
Bb-comp14452_c0,bb
Bb-comp144553_c0,bb
Bb-comp14455_c0,bb
Bb-comp14458_c0,bb
Bb-comp14459_c0,bb
Bb-comp14460_c0,bb
Bb-comp144701_c0,bb
Bb-comp144740_c0,bb
Bb-comp14488_c0,bb
Bb-comp144908_c0,bb
Bb-comp144935_c0,bb
Bb-comp144966_c0,bb
Bb-comp144978_c0,bb
Bb-comp144990_c0,bb
Bb-comp14502_c0,bb
Bb-comp145086_c0,bb
Bb-comp14508_c0,bb
Bb-comp1450_c0,bb
Bb-comp145102_c0,bb
Bb-comp145127_c0,bb
Bb-comp145159_c0,bb
Bb-comp145278_c0,bb
Bb-comp145338_c0,bb
Bb-comp145399_c0,bb
Bb-comp145444_c0,bb
Bb-comp145582_c0,bb
Bb-comp14566_c0,bb
Bb-comp145675_c0,bb
Bb-comp14567_c0,bb
Bb-comp145700_c0,bb
Bb-comp145740_c0,bb
Bb-comp14574_c1,bb
Bb-comp14576_c0,bb
Bb-comp145804_c0,bb
Bb-comp14582_c0,bb
Bb-comp145844_c0,bb
Bb-comp145872_c0,bb
Bb-comp145881_c0,bb
Bb-comp14590_c0,bb
Bb-comp14590_c1,bb
Bb-comp145914_c0,bb
Bb-comp14608_c0,bb
Bb-comp146216_c0,bb
Bb-comp146226_c0,bb
Bb-comp146289_c0,bb
Bb-comp146350_c0,bb
Bb-comp146399_c0,bb
Bb-comp146408_c0,bb
Bb-comp14640_c0,bb
Bb-comp146497_c0,bb
Bb-comp14650_c0,bb
Bb-comp14651_c0,bb
